image_name,point_0_x,point_0_y,point_1_x,point_1_y,point_2_x,point_2_y,point_3_x,point_3_y,point_4_x,point_4_y,point_5_x,point_5_y,point_6_x,point_6_y,point_7_x,point_7_y,point_8_x,point_8_y,point_9_x,point_9_y,point_10_x,point_10_y,point_11_x,point_11_y,point_12_x,point_12_y,point_13_x,point_13_y,point_14_x,point_14_y,point_15_x,point_15_y,point_16_x,point_16_y,point_17_x,point_17_y,point_18_x,point_18_y,point_19_x,point_19_y,point_20_x,point_20_y,class_name
palm_110_keypoints,-0.0,0.0,-1.608,3.426,-3.224,7.479,-3.126,11.335,-4.349,14.814,0.768,10.105,2.805,14.974,4.624,18.008,6.812,20.349,3.621,9.322,5.899,14.145,8.193,17.714,10.254,20.703,5.636,8.069,8.232,12.582,9.907,15.518,11.507,18.718,7.441,6.356,10.368,9.307,11.809,11.662,12.745,13.986,palm
palm_111_keypoints,-0.0,0.0,-1.899,3.692,-3.459,7.213,-3.821,11.411,-5.261,14.914,0.067,10.477,2.095,15.182,3.845,17.974,5.697,20.63,2.863,9.582,5.439,14.693,7.43,18.304,9.298,21.08,5.403,8.6,7.431,13.305,9.18,16.097,10.522,19.438,7.206,6.752,9.776,10.157,11.063,12.286,12.264,14.671,palm
palm_112_keypoints,-0.0,0.0,-0.296,4.832,-0.785,8.966,0.238,12.685,1.165,16.055,4.187,10.224,5.57,14.343,6.569,17.068,7.705,19.381,5.114,8.594,7.501,13.187,8.428,16.557,10.009,19.122,5.84,7.144,8.746,11.345,9.745,14.07,11.124,16.815,6.057,5.209,8.135,7.763,9.556,9.747,10.777,11.912,palm
palm_113_keypoints,-0.0,0.0,-1.131,3.963,-2.036,7.864,-1.597,11.771,-1.332,15.48,2.596,9.67,4.666,13.748,5.802,16.614,7.641,18.925,5.007,8.656,7.283,13.046,8.851,16.161,10.814,18.928,6.006,6.925,8.933,11.017,10.638,13.73,12.372,16.557,7.004,5.194,9.413,7.352,11.214,9.063,12.682,11.352,palm
palm_114_keypoints,-0.0,0.0,-2.325,4.12,-4.516,7.488,-5.443,11.161,-7.875,13.711,0.152,10.221,1.959,15.079,3.009,18.096,4.86,20.752,2.863,9.582,4.943,14.643,6.44,18.204,7.985,21.272,4.992,8.295,7.14,12.981,8.566,16.065,9.736,19.065,6.061,6.431,8.562,9.359,9.933,11.231,11.29,13.838,palm
palm_115_keypoints,-0.0,0.0,-2.122,3.851,-4.323,7.234,-5.02,10.966,-7.28,13.997,0.369,10.058,2.234,14.683,3.215,17.65,4.978,20.245,3.278,9.448,5.162,14.189,6.594,17.683,8.279,20.532,5.21,8.037,7.308,12.623,8.758,15.511,10.014,18.674,6.085,6.082,8.589,8.793,10.137,10.822,11.137,13.183,palm
palm_116_keypoints,-0.0,0.0,-2.644,1.988,-4.433,5.127,-6.065,8.621,-9.321,10.669,-2.865,9.787,-2.481,14.935,-1.766,18.444,-0.831,21.685,-0.004,10.0,0.621,16.358,1.006,20.271,1.318,23.45,2.441,9.76,2.565,16.043,2.878,19.223,3.044,22.169,4.972,9.14,6.347,13.079,6.991,15.855,7.622,18.509,palm
palm_117_keypoints,-0.0,0.0,-2.689,2.426,-5.208,5.527,-6.985,9.179,-9.975,11.488,-2.919,9.901,-4.015,14.255,-4.52,17.101,-4.363,20.032,-0.001,10.0,-0.277,15.37,-0.33,18.394,0.07,21.594,2.399,9.201,3.277,14.066,3.631,17.161,3.788,20.092,4.688,7.574,6.923,10.971,7.887,13.174,8.746,15.424,palm
palm_118_keypoints,-0.0,0.0,-2.797,2.331,-5.226,5.549,-7.222,9.495,-9.844,11.625,-2.758,10.238,-3.407,14.923,-3.788,18.069,-3.237,20.957,0.0,10.0,0.052,15.433,-0.015,18.708,0.009,22.205,2.686,9.273,3.465,14.274,3.731,17.411,3.71,20.796,4.846,7.596,6.679,11.38,7.645,13.705,8.215,16.326,palm
palm_119_keypoints,-0.0,0.0,-2.676,2.516,-5.286,5.737,-6.924,9.504,-9.837,11.759,-2.812,10.26,-3.637,14.769,-3.582,17.672,-3.219,20.439,0.001,10.0,0.002,15.0,-0.026,18.549,0.312,21.816,2.442,9.172,3.351,14.017,3.847,17.092,3.89,20.244,4.627,7.481,6.346,11.117,7.378,13.468,8.173,15.558,palm
palm_11_keypoints,-0.0,0.0,-2.704,3.254,-5.416,6.414,-6.313,9.624,-6.847,12.618,-2.366,10.181,-1.946,14.434,-1.183,16.947,-0.616,19.38,0.001,10.0,0.472,14.916,1.162,17.721,1.947,20.518,2.077,9.746,2.599,14.087,2.888,16.636,3.361,19.077,4.205,8.917,4.567,12.413,4.893,14.198,4.965,16.383,palm
palm_120_keypoints,-0.0,0.0,-2.484,2.553,-4.976,5.815,-6.625,9.515,-9.211,11.748,-2.696,10.032,-2.689,14.501,-2.449,17.483,-1.6,20.155,-0.0,10.0,0.142,14.896,0.625,18.272,0.935,21.467,2.418,9.467,2.92,14.013,3.196,17.102,3.223,20.153,4.211,8.074,5.545,11.533,6.078,13.952,6.543,16.158,palm
palm_121_keypoints,-0.0,0.0,-2.635,2.558,-4.877,5.857,-6.503,9.848,-9.161,12.293,-2.797,10.122,-3.147,15.138,-3.043,18.409,-2.494,20.999,-0.0,10.0,1.216,15.743,2.608,18.978,3.678,21.809,2.608,8.978,4.717,13.942,6.15,16.816,6.953,20.057,4.959,7.303,7.41,10.549,8.877,12.473,10.214,14.896,palm
palm_122_keypoints,-0.0,0.0,-3.09,2.695,-5.459,6.095,-7.011,10.063,-9.912,12.486,-2.924,10.285,-3.013,15.777,-2.823,18.839,-1.752,21.504,0.001,10.0,1.02,16.366,2.216,19.724,3.308,22.504,2.614,9.295,4.6,14.417,5.85,17.407,6.752,20.46,4.789,7.478,7.451,11.049,8.766,13.077,9.817,15.627,palm
palm_123_keypoints,-0.0,0.0,-2.968,2.565,-5.352,5.882,-7.07,9.697,-10.054,12.146,-2.953,10.182,-3.205,15.099,-2.99,18.283,-2.207,21.266,-0.003,10.0,0.761,16.2,1.793,19.267,2.709,22.35,2.646,9.385,4.295,14.268,5.577,17.418,6.243,20.419,4.797,7.768,7.313,11.22,8.678,13.287,9.628,15.77,palm
palm_124_keypoints,-0.0,0.0,-1.618,3.262,-2.843,7.317,-2.689,11.485,-4.241,15.105,1.108,10.658,2.687,15.182,4.194,17.989,6.328,20.186,3.58,9.337,7.244,14.461,9.154,17.441,11.355,19.996,6.06,7.397,9.884,11.38,12.205,13.913,14.689,16.664,7.616,5.134,11.684,7.096,13.828,8.675,15.994,10.372,palm
palm_125_keypoints,-0.0,0.0,-1.993,3.374,-3.224,7.479,-3.202,11.6,-4.787,15.146,1.002,10.687,2.51,15.404,4.284,18.197,6.111,20.604,3.621,9.322,6.88,14.711,9.062,17.677,11.031,20.183,5.689,7.684,9.689,11.685,12.043,14.243,14.299,16.946,7.358,5.247,11.214,7.149,13.365,8.62,15.463,10.478,palm
palm_126_keypoints,-0.0,0.0,-2.103,2.92,-3.625,6.818,-4.677,10.777,-6.536,13.784,-0.432,10.283,0.446,14.832,1.623,17.951,3.408,20.301,2.295,9.733,4.657,15.04,6.279,17.99,8.206,20.557,4.801,8.279,7.884,12.804,9.697,15.383,11.521,18.078,6.665,6.318,9.854,8.738,11.801,10.487,13.736,12.123,palm
palm_127_keypoints,-0.0,0.0,-2.611,1.756,-4.911,5.274,-6.508,9.048,-9.637,11.2,-2.956,9.659,-3.971,14.606,-3.966,17.639,-3.381,20.831,0.004,10.0,-0.183,16.313,0.329,19.851,0.987,22.698,2.654,9.589,3.503,15.112,4.432,18.377,4.783,21.484,5.192,8.179,7.516,11.849,8.803,14.288,9.88,16.864,palm
palm_128_keypoints,-0.0,0.0,-2.121,2.309,-4.317,6.019,-6.114,9.503,-8.597,11.337,-2.712,10.173,-3.632,14.335,-3.839,16.921,-3.801,19.554,0.0,10.0,0.025,15.51,0.589,18.803,0.928,21.697,2.486,9.429,3.414,14.461,4.161,17.588,4.714,20.424,4.902,8.188,6.866,11.554,7.649,13.981,8.316,15.982,palm
palm_129_keypoints,-0.0,0.0,-2.537,2.483,-4.442,5.717,-6.347,8.952,-9.369,10.751,-2.909,10.053,-4.291,14.078,-4.755,16.559,-4.639,18.957,-0.0,10.0,-0.195,15.313,-0.136,18.585,0.248,21.741,2.569,9.336,3.535,14.482,4.028,17.6,4.336,20.539,4.686,7.733,6.785,11.259,7.916,13.421,8.797,15.914,palm
palm_12_keypoints,-0.0,0.0,-2.828,2.979,-4.866,6.052,-5.423,9.327,-4.32,11.906,-2.136,9.979,-1.533,13.981,-1.112,16.549,-0.499,19.092,0.002,10.0,0.785,14.658,1.327,17.406,1.964,20.141,1.949,9.269,2.696,13.641,3.022,16.22,3.443,18.788,4.169,8.405,4.604,11.845,4.954,13.84,5.029,15.966,palm
palm_130_keypoints,-0.0,0.0,-3.022,2.055,-5.324,5.398,-7.156,9.105,-10.261,11.308,-2.945,10.06,-3.744,14.845,-3.914,17.854,-3.937,20.948,0.001,10.0,-0.077,16.071,0.515,19.614,0.638,22.79,2.76,9.25,3.884,14.747,4.383,17.946,5.028,21.227,5.302,7.695,7.576,11.523,8.891,13.634,9.724,16.247,palm
palm_131_keypoints,-0.0,0.0,-2.41,3.043,-4.3,6.357,-5.41,10.076,-7.154,12.474,-2.361,10.092,-1.738,14.135,-0.933,17.034,0.107,19.641,0.002,10.0,0.915,14.277,1.513,17.894,2.417,20.76,2.109,9.444,2.695,13.716,3.303,16.677,3.65,19.502,3.764,8.487,4.657,12.01,4.952,13.982,4.947,16.375,palm
palm_132_keypoints,-0.0,0.0,-2.472,2.914,-4.385,6.239,-5.318,9.861,-7.134,12.711,-2.578,10.021,-1.686,14.163,-0.762,17.172,0.315,19.915,0.0,10.0,1.215,14.504,2.043,17.989,2.995,21.103,2.305,9.378,2.94,13.814,3.626,16.776,4.207,19.764,4.021,8.241,4.981,11.803,5.365,14.059,5.302,16.324,palm
palm_133_keypoints,-0.0,0.0,-2.405,2.779,-3.624,6.371,-4.712,9.601,-6.828,11.761,-2.414,10.473,-1.825,14.727,-1.093,17.297,-0.079,20.129,-0.0,10.0,0.739,14.876,1.593,18.406,2.553,21.47,2.076,9.498,2.74,14.063,3.339,16.995,3.731,19.977,4.078,8.685,4.931,12.214,5.354,14.42,5.233,16.646,palm
palm_134_keypoints,-0.0,0.0,-2.635,2.962,-4.544,6.528,-6.05,10.332,-7.755,12.936,-2.4,9.945,-2.162,14.77,-1.518,17.67,-0.476,20.352,-0.0,10.0,0.507,14.981,1.374,18.732,2.045,21.738,2.34,9.388,2.976,13.995,3.598,17.242,3.71,20.281,4.194,8.222,5.464,12.208,5.913,14.364,6.284,16.653,palm
palm_135_keypoints,-0.0,0.0,-2.377,2.871,-4.449,6.093,-4.999,10.214,-5.277,13.726,-2.551,10.12,-2.086,14.838,-1.458,17.688,-0.502,20.559,-0.001,10.0,0.671,15.525,1.403,18.778,2.183,21.802,2.217,9.428,3.062,14.371,3.641,17.448,3.637,20.352,4.279,8.251,5.697,12.079,6.295,14.397,6.616,16.895,palm
palm_136_keypoints,-0.0,0.0,-2.562,3.133,-4.88,6.766,-6.171,10.471,-8.369,12.837,-2.477,10.415,-2.282,15.084,-1.649,18.404,-0.809,21.22,-0.0,10.0,0.654,16.01,1.525,19.381,2.342,22.541,2.344,9.507,3.334,14.643,4.046,17.831,4.519,20.967,4.474,8.619,6.113,12.353,6.712,14.67,7.338,17.093,palm
palm_137_keypoints,-0.0,0.0,-2.748,2.845,-4.83,6.529,-6.092,10.338,-7.998,12.965,-2.531,10.205,-2.309,14.979,-1.68,17.85,-0.785,20.877,-0.0,10.0,0.518,15.484,1.178,18.909,2.022,22.174,2.107,9.456,2.964,14.515,3.464,17.756,3.673,20.737,4.263,8.673,5.504,12.173,6.158,14.701,6.468,17.205,palm
palm_138_keypoints,-0.0,0.0,-2.7,2.912,-4.508,6.707,-6.005,10.422,-8.081,12.731,-2.559,10.43,-2.613,15.0,-2.442,17.845,-1.774,20.897,-0.001,10.0,0.63,15.95,1.429,19.079,2.306,22.077,2.424,9.491,3.468,14.447,4.162,17.602,4.464,20.526,4.585,8.384,5.962,12.032,6.783,14.379,7.422,16.881,palm
palm_139_keypoints,-0.0,0.0,-2.527,3.125,-4.573,6.449,-5.91,10.019,-7.913,12.256,-2.551,10.12,-3.022,14.543,-2.772,17.596,-2.246,20.471,-0.001,10.0,0.597,15.652,1.377,18.676,2.056,21.727,2.419,9.376,3.641,14.114,4.596,16.985,5.276,20.036,4.582,8.173,6.399,11.467,7.475,13.556,8.402,15.896,palm
palm_13_keypoints,-0.0,0.0,-2.752,3.496,-5.052,6.64,-5.278,9.737,-4.402,12.108,-2.33,10.377,-1.596,14.052,-0.915,16.446,-0.234,18.841,0.001,10.0,0.598,14.187,1.435,17.057,2.115,19.451,1.873,9.084,2.654,13.15,3.076,15.872,3.464,18.301,3.83,8.059,4.3,11.172,4.75,13.297,4.822,15.565,palm
palm_140_keypoints,-0.0,0.0,-3.573,2.037,-6.336,5.209,-7.959,8.939,-10.597,11.565,-2.77,9.805,-3.361,14.739,-3.593,17.934,-3.28,21.253,-0.003,10.0,-0.511,15.449,-0.545,19.243,-0.54,22.611,2.414,9.304,2.061,14.411,1.86,17.812,1.611,20.903,4.663,8.212,4.537,12.758,4.246,14.909,3.866,17.179,palm
palm_141_keypoints,-0.0,0.0,-2.305,2.687,-3.524,6.624,-3.657,11.152,-4.696,14.18,0.837,10.411,2.503,15.191,3.763,18.171,5.237,21.115,3.208,9.471,5.587,14.574,7.078,18.285,8.48,21.46,5.599,8.638,7.39,13.507,8.65,16.486,9.786,19.376,7.276,7.483,9.142,10.802,9.868,13.209,10.186,15.135,palm
palm_142_keypoints,-0.0,0.0,-3.01,2.09,-5.086,5.55,-6.228,9.498,-6.539,12.962,-2.43,10.165,-2.657,14.405,-2.914,17.473,-2.697,20.39,0.003,10.0,-0.13,15.113,0.033,18.428,-0.061,21.183,2.277,9.264,2.102,13.989,2.319,16.907,2.032,19.683,4.509,8.14,4.799,11.736,4.998,13.577,4.637,15.675,palm
palm_143_keypoints,-0.0,0.0,-3.156,2.28,-5.786,5.778,-6.92,9.824,-8.328,13.211,-2.565,10.147,-3.228,14.8,-3.81,17.763,-3.878,20.698,0.001,10.0,-0.311,15.602,-0.571,19.003,-0.69,21.742,2.389,9.169,2.709,14.398,2.836,17.282,2.619,20.047,4.9,8.411,6.158,12.042,6.568,14.018,6.665,16.389,palm
palm_144_keypoints,-0.0,0.0,-3.077,2.133,-5.136,6.435,-5.374,10.777,-5.669,14.558,-0.864,10.429,0.103,15.444,1.225,18.625,2.369,22.03,2.025,9.793,3.423,15.673,4.106,19.012,5.495,21.483,4.745,8.605,5.86,13.946,6.43,17.296,6.98,21.558,7.329,7.204,8.475,11.746,8.853,14.321,8.668,16.953,palm
palm_145_keypoints,-0.0,0.0,-3.231,3.278,-5.731,6.873,-6.401,11.264,-7.298,15.021,-2.611,10.47,-2.71,15.544,-2.379,18.631,-2.324,21.43,0.002,10.0,0.168,15.926,0.41,19.141,0.423,22.959,2.465,9.332,2.663,14.802,2.43,17.878,2.227,20.5,4.852,8.229,5.377,12.404,5.443,14.64,5.547,17.093,palm
palm_146_keypoints,-0.0,0.0,-3.399,2.404,-6.546,5.436,-8.935,8.578,-11.169,10.489,-3.002,9.933,-4.065,14.154,-4.827,16.756,-5.477,19.532,-0.004,10.0,-0.37,15.552,-0.594,18.845,-0.385,20.88,2.446,9.282,3.336,14.331,3.454,17.309,3.611,20.658,4.941,8.092,7.15,11.417,8.542,13.143,9.573,15.001,palm
palm_147_keypoints,-0.0,0.0,-3.436,2.449,-6.698,5.995,-9.016,9.841,-11.396,12.575,-2.871,10.337,-4.467,15.195,-5.007,18.201,-5.31,21.282,-0.003,10.0,-0.101,16.532,-0.157,20.473,-0.079,23.831,2.704,9.35,3.784,14.798,4.191,18.105,4.436,21.099,5.163,7.84,7.428,11.529,8.591,13.931,9.315,16.402,palm
palm_148_keypoints,-0.0,0.0,-4.084,1.643,-7.863,5.071,-11.086,8.361,-13.784,10.841,-3.264,9.921,-4.72,15.043,-5.37,18.105,-5.897,21.387,-0.002,10.0,-0.159,16.524,0.016,20.449,0.438,22.34,3.118,9.411,4.149,14.87,4.421,18.454,4.709,22.373,5.734,7.608,7.933,11.555,9.155,13.747,10.274,16.169,palm
palm_149_keypoints,-0.0,0.0,-3.611,1.486,-6.087,5.053,-7.512,8.728,-9.786,11.13,-1.255,9.91,-1.25,14.388,-1.053,17.599,-0.771,20.594,1.862,9.825,2.519,15.701,3.357,19.059,4.27,19.911,4.272,8.869,5.688,13.944,6.721,17.18,6.955,19.658,6.615,7.19,9.132,10.703,10.35,12.568,11.399,14.865,palm
palm_14_keypoints,-0.0,0.0,-2.816,3.557,-5.43,6.462,-5.805,9.822,-5.492,12.348,-2.527,10.313,-2.452,14.527,-2.206,17.27,-2.194,19.846,-0.002,10.0,0.607,14.951,1.204,17.945,1.75,20.639,2.173,9.435,3.052,13.518,3.548,16.528,3.877,19.155,4.048,8.302,5.313,11.599,5.66,13.706,5.956,16.131,palm
palm_150_keypoints,-0.0,0.0,-3.224,2.276,-5.565,5.4,-7.122,9.277,-8.803,11.811,-2.587,10.052,-2.777,14.96,-2.622,17.938,-2.48,20.243,0.008,10.0,-0.075,15.483,-0.206,18.562,-0.077,20.195,2.301,9.281,2.311,14.57,2.184,17.842,1.654,20.16,4.883,8.556,4.97,12.882,4.819,15.001,4.377,16.932,palm
palm_151_keypoints,-0.0,0.0,-3.006,2.749,-4.991,5.972,-6.262,9.507,-8.106,12.229,-2.3,10.247,-2.645,14.265,-2.336,17.145,-2.165,19.651,0.004,10.0,-0.249,14.882,-0.495,18.015,-0.423,21.406,2.16,9.284,1.887,13.974,1.523,16.925,1.195,19.291,4.221,8.577,4.314,12.159,4.349,14.292,3.765,16.101,palm
palm_152_keypoints,-0.0,0.0,-3.811,2.518,-7.465,6.138,-9.617,9.481,-11.922,11.821,-3.118,10.159,-3.879,15.047,-4.127,18.09,-4.2,20.619,0.006,10.0,-0.074,16.368,-0.101,19.804,0.486,21.39,2.382,9.07,3.476,14.672,3.636,17.795,3.764,20.314,4.643,7.845,6.642,11.378,7.662,13.549,8.379,15.734,palm
palm_153_keypoints,-0.0,0.0,-3.265,2.187,-6.892,5.511,-9.582,8.654,-12.322,10.546,-3.069,10.206,-4.325,14.236,-4.68,17.412,-5.045,19.036,-0.002,10.0,-0.048,14.766,0.137,18.225,0.832,17.799,2.138,8.517,3.422,12.637,3.722,15.685,3.75,17.33,4.02,6.21,6.565,8.823,7.882,10.606,9.048,12.613,palm
palm_154_keypoints,-0.0,0.0,-3.954,3.443,-6.817,6.464,-8.544,10.203,-10.388,13.002,-3.27,10.501,-2.63,16.421,-2.482,19.927,-2.786,19.774,0.002,10.0,-0.074,16.295,0.238,19.59,0.872,19.321,2.371,9.135,2.576,14.633,2.48,17.693,2.373,19.134,4.19,7.671,5.182,11.834,5.637,13.968,5.647,15.586,palm
palm_155_keypoints,-0.0,0.0,-3.753,3.052,-7.053,6.36,-8.838,9.536,-10.819,12.092,-3.177,10.804,-3.213,15.806,-3.094,16.874,-2.463,20.249,0.015,10.0,0.398,17.222,3.222,19.196,0.834,7.387,2.371,8.058,3.694,10.61,6.204,14.111,6.832,17.397,4.286,6.307,6.228,8.663,6.136,8.577,5.575,7.699,palm
palm_156_keypoints,-0.0,0.0,-5.15,2.459,-9.173,8.068,-10.829,12.597,-12.392,16.689,-3.886,11.287,-2.116,18.046,-1.357,20.942,-1.472,22.322,-0.001,10.0,1.539,17.517,2.251,20.966,2.895,20.575,3.31,8.276,4.504,15.265,4.827,18.736,5.424,19.564,5.379,4.115,7.402,9.84,8.62,12.552,9.333,14.667,palm
palm_157_keypoints,-0.0,0.0,-3.331,2.599,-6.337,5.252,-9.168,7.626,-11.933,8.371,-2.574,10.058,-2.693,14.013,-2.635,16.587,-2.41,19.086,0.0,10.0,-0.411,15.086,-0.518,17.734,-0.386,20.474,2.026,9.389,1.714,14.03,1.44,16.753,1.348,18.994,4.171,8.824,4.001,12.0,3.972,13.713,3.822,15.38,palm
palm_158_keypoints,-0.0,0.0,-3.524,2.159,-6.865,5.066,-9.085,7.695,-11.558,8.505,-2.564,10.04,-2.527,14.19,-2.393,16.731,-2.025,19.016,-0.0,10.0,-0.175,15.291,-0.204,17.972,0.045,20.583,2.053,9.492,1.995,14.061,1.802,16.881,1.751,19.071,4.315,8.635,4.402,11.781,4.211,13.413,4.137,15.115,palm
palm_159_keypoints,-0.0,0.0,-2.961,2.596,-5.788,5.213,-8.127,7.363,-10.59,9.013,-2.599,9.984,-2.335,13.794,-2.273,16.339,-2.101,19.039,0.001,9.999,-0.255,14.89,-0.104,17.722,0.28,20.389,2.233,9.339,1.888,13.94,1.961,16.829,1.722,19.118,4.353,8.524,4.327,11.602,4.497,13.479,4.557,15.2,palm
palm_15_keypoints,-0.0,0.0,-3.065,3.27,-5.672,6.221,-6.352,9.678,-6.243,12.418,-2.546,10.489,-2.51,14.736,-2.524,17.399,-2.136,19.968,-0.001,10.0,0.628,14.959,1.134,18.032,2.074,20.684,2.171,9.279,3.162,13.515,3.622,16.387,4.057,19.156,3.922,8.125,5.205,11.335,5.725,13.554,5.995,15.618,palm
palm_160_keypoints,-0.0,0.0,-3.27,2.09,-6.357,4.521,-8.841,6.847,-11.521,8.4,-2.733,9.823,-2.779,14.023,-2.57,16.658,-2.485,19.468,-0.0,10.0,-0.447,15.295,-0.145,18.1,0.031,21.081,2.11,9.633,1.814,14.187,1.775,17.175,1.808,19.685,4.455,8.48,4.514,11.855,4.658,13.755,4.717,15.701,palm
palm_161_keypoints,-0.0,0.0,-2.854,2.465,-5.886,4.985,-8.205,7.281,-10.742,8.568,-2.6,9.836,-2.873,13.648,-3.009,16.337,-2.995,18.882,0.002,9.999,-0.679,15.018,-0.904,17.736,-0.833,20.459,1.932,9.591,1.558,14.021,1.065,16.823,0.845,19.245,4.074,8.918,4.139,11.936,4.136,13.801,3.893,15.837,palm
palm_162_keypoints,-0.0,0.0,-3.218,2.682,-6.116,5.455,-8.426,7.943,-10.775,8.792,-2.63,9.969,-2.794,14.003,-2.881,16.457,-2.768,19.237,0.001,10.0,-0.673,15.168,-0.708,18.091,-0.738,20.723,2.054,9.44,1.619,14.142,1.264,16.974,0.973,19.397,4.343,8.706,4.218,11.95,4.31,14.056,4.054,15.983,palm
palm_163_keypoints,-0.0,0.0,-2.958,2.345,-5.813,5.05,-8.751,7.067,-11.39,7.963,-2.655,9.959,-2.497,13.868,-2.368,16.635,-2.318,19.448,0.001,10.0,-0.41,15.291,-0.426,18.353,-0.468,21.008,2.055,9.548,1.777,14.34,1.59,17.291,1.255,19.801,4.345,8.959,4.387,12.303,4.341,14.224,4.171,16.112,palm
palm_164_keypoints,-0.0,0.0,-3.492,2.816,-6.834,5.387,-9.051,8.314,-11.865,9.612,-2.704,10.022,-2.722,14.297,-2.699,17.0,-2.259,19.707,-0.001,10.0,-0.374,15.402,-0.379,18.424,-0.113,21.276,2.167,9.481,1.774,14.367,1.768,17.388,1.571,20.04,4.437,8.521,4.549,12.035,4.847,14.151,4.657,15.967,palm
